Date,Open,High,Low,Close,Adj Close
07-11-2022,18211.75,18255.5,18064.75,18202.80078,18202.80078
20-01-2023,18115.59961,18145.44922,18016.19922,18027.65039,237200
08-03-2023,17665.75,17766.5,17602.25,17754.40039,267000
28-11-2022,18430.55078,18614.25,18365.59961,18562.75,206500
13-09-2023,19989.5,20096.90039,19944.09961,20070,251400
