Date,Open,High,Low,Close,Adj Close,Volume
01-06-2022,16594.40039,16649.19922,16438.84961,16522.75,16522.75,249600
02-06-2022,16481.65039,16646.40039,16443.05078,16628,16628,236000
03-06-2022,16761.65039,16793.84961,16567.90039,16584.30078,16584.30078,245500
06-06-2022,16530.69922,16610.94922,16444.55078,16569.55078,16569.55078,233600
07-06-2022,16469.59961,16487.25,16347.09961,16416.34961,16416.34961,233800
08-06-2022,16474.94922,16514.30078,16293.34961,16356.25,16356.25,243500
09-06-2022,16263.84961,16492.80078,16243.84961,16478.09961,16478.09961,205000
10-06-2022,16283.9502,16324.7002,16172.59961,16201.79981,16201.79981,189700
13-06-2022,15877.54981,15886.15039,15684,15774.40039,15774.40039,225500
14-06-2022,15674.25,15858,15659.4502,15732.09961,15732.09961,225400
15-06-2022,15729.25,15783.65039,15678.90039,15692.15039,15692.15039,183000
16-06-2022,15832.25,15863.15039,15335.09961,15360.59961,15360.59961,264700
17-06-2022,15272.65039,15400.40039,15183.40039,15293.5,15293.5,342600
20-06-2022,15334.5,15382.5,15191.09961,15350.15039,15350.15039,260000
21-06-2022,15455.9502,15707.25,15419.84961,15638.79981,15638.79981,262800
22-06-2022,15545.65039,15565.40039,15385.9502,15413.29981,15413.29981,220900
23-06-2022,15451.54981,15628.4502,15367.5,15556.65039,15556.65039,259200
24-06-2022,15657.40039,15749.25,15619.4502,15699.25,15699.25,219600
27-06-2022,15926.2002,15927.4502,15815.5,15832.04981,15832.04981,210900
28-06-2022,15757.4502,15892.09961,15710.15039,15850.2002,15850.2002,251900
29-06-2022,15701.7002,15861.59961,15687.79981,15799.09961,15799.09961,444900
30-06-2022,15774.5,15890,15728.84961,15780.25,15780.25,306000
01-07-2022,15703.7002,15793.9502,15511.04981,15752.04981,15752.04981,364100
04-07-2022,15710.5,15852.34961,15661.79981,15835.34961,15835.34961,304300
05-07-2022,15909.15039,16025.75,15785.4502,15810.84961,15810.84961,254200
06-07-2022,15818.2002,16011.34961,15800.90039,15989.79981,15989.79981,288400
07-07-2022,16113.75,16150.5,16045.9502,16132.90039,16132.90039,264600
08-07-2022,16273.65039,16275.5,16157.90039,16220.59961,16220.59961,281100
11-07-2022,16136.15039,16248.54981,16115.5,16216,16216,255900
12-07-2022,16126.2002,16158.75,16031.15039,16058.29981,16058.29981,208600
13-07-2022,16128.2002,16140,15950.15039,15966.65039,15966.65039,233300
14-07-2022,16018.84961,16070.84961,15858.2002,15938.65039,15938.65039,228600
15-07-2022,16010.79981,16066.9502,15927.29981,16049.2002,16049.2002,205800
18-07-2022,16151.40039,16287.9502,16142.2002,16278.5,16278.5,227700
19-07-2022,16187.04981,16359.5,16187.04981,16340.54981,16340.54981,222600
20-07-2022,16562.80078,16588,16490.94922,16520.84961,16520.84961,284400
21-07-2022,16523.55078,16626.94922,16483.90039,16605.25,16605.25,243600
22-07-2022,16661.25,16752.25,16610.90039,16719.44922,16719.44922,190900
25-07-2022,16662.55078,16706.05078,16564.25,16631,16631,211400
26-07-2022,16632.90039,16636.09961,16463.30078,16483.84961,16483.84961,208200
27-07-2022,16475.34961,16653.44922,16438.75,16641.80078,16641.80078,185200
28-07-2022,16774.84961,16947.65039,16746.25,16929.59961,16929.59961,376300
29-07-2022,17079.5,17172.80078,17018.15039,17158.25,17158.25,436100
01-08-2022,17243.19922,17356.25,17154.80078,17340.05078,17340.05078,381500
02-08-2022,17310.15039,17390.15039,17215.84961,17345.44922,17345.44922,333600
03-08-2022,17349.25,17407.5,17225.84961,17388.15039,17388.15039,285400
04-08-2022,17463.09961,17490.69922,17161.25,17382,17382,325000
05-08-2022,17423.65039,17474.40039,17348.75,17397.5,17397.5,355300
08-08-2022,17401.5,17548.80078,17359.75,17525.09961,17525.09961,257000
10-08-2022,17566.09961,17566.09961,17442.80078,17534.75,17534.75,312700
11-08-2022,17711.65039,17719.30078,17631.94922,17659,17659,311200
12-08-2022,17659.65039,17724.65039,17597.84961,17698.15039,17698.15039,303900
16-08-2022,17797.19922,17839.09961,17764.05078,17825.25,17825.25,0
17-08-2022,17868.15039,17965.94922,17833.34961,17944.25,17944.25,262800
18-08-2022,17898.65039,17968.44922,17852.05078,17956.5,17956.5,263900
19-08-2022,17966.55078,17992.19922,17710.75,17758.44922,17758.44922,295600
22-08-2022,17682.90039,17690.05078,17467.34961,17490.69922,17490.69922,287600
23-08-2022,17357.34961,17625.55078,17345.19922,17577.5,17577.5,285600
24-08-2022,17525.44922,17623.65039,17499.25,17604.94922,17604.94922,262000
25-08-2022,17679,17726.5,17487.44922,17522.44922,17522.44922,230200
26-08-2022,17619.30078,17685.84961,17519.34961,17558.90039,17558.90039,266600
29-08-2022,17188.65039,17380.15039,17166.19922,17312.90039,17312.90039,244900
30-08-2022,17414.94922,17777.65039,17401.5,17759.30078,17759.30078,324700
01-09-2022,17485.69922,17695.59961,17468.44922,17542.80078,17542.80078,308500
02-09-2022,17598.40039,17643.84961,17476.44922,17539.44922,17539.44922,256300
05-09-2022,17546.44922,17683.15039,17540.34961,17665.80078,17665.80078,230300
06-09-2022,17695.69922,17764.65039,17587.65039,17655.59961,17655.59961,251200
07-09-2022,17519.40039,17650.75,17484.30078,17624.40039,17624.40039,354100
08-09-2022,17748.15039,17807.65039,17691.94922,17798.75,17798.75,279800
09-09-2022,17923.34961,17925.94922,17786,17833.34961,17833.34961,270300
12-09-2022,17890.84961,17980.55078,17889.15039,17936.34961,17936.34961,228200
13-09-2022,18044.44922,18088.30078,18015.44922,18070.05078,18070.05078,259900
14-09-2022,17771.15039,18091.55078,17771.15039,18003.75,18003.75,365900
15-09-2022,18046.34961,18096.15039,17861.5,17877.40039,17877.40039,289600
16-09-2022,17796.80078,17820.05078,17497.25,17530.84961,17530.84961,468500
19-09-2022,17540.65039,17667.19922,17429.69922,17622.25,17622.25,258300
20-09-2022,17770.40039,17919.30078,17744.40039,17816.25,17816.25,263100
21-09-2022,17766.34961,17838.69922,17663.59961,17718.34961,17718.34961,245500
22-09-2022,17609.65039,17722.75,17532.44922,17629.80078,17629.80078,284100
23-09-2022,17593.84961,17642.15039,17291.65039,17327.34961,17327.34961,390800
26-09-2022,17156.30078,17196.40039,16978.30078,17016.30078,17016.30078,492000
27-09-2022,17110.90039,17176.44922,16942.34961,17007.40039,17007.40039,359900
28-09-2022,16870.55078,17037.59961,16820.40039,16858.59961,16858.59961,323900
29-09-2022,16993.59961,17026.05078,16788.59961,16818.09961,16818.09961,340000
30-09-2022,16798.05078,17187.09961,16747.69922,17094.34961,17094.34961,376100
03-10-2022,17102.09961,17114.65039,16855.55078,16887.34961,16887.34961,278400
04-10-2022,17147.44922,17287.30078,17117.30078,17274.30078,17274.30078,226000
06-10-2022,17379.25,17428.80078,17315.65039,17331.80078,17331.80078,265500
07-10-2022,17287.19922,17337.34961,17216.94922,17314.65039,17314.65039,216300
10-10-2022,17094.34961,17280.15039,17064.69922,17241,17241,234000
11-10-2022,17256.05078,17261.80078,16950.30078,16983.55078,16983.55078,282600
12-10-2022,17025.55078,17142.34961,16960.05078,17123.59961,17123.59961,256000
13-10-2022,17087.34961,17112.34961,16956.94922,17014.34961,17014.34961,266400
14-10-2022,17322.30078,17348.55078,17169.75,17185.69922,17185.69922,227000
17-10-2022,17144.80078,17328.55078,17098.55078,17311.80078,17311.80078,212200
18-10-2022,17438.75,17527.80078,17434.05078,17486.94922,17486.94922,239500
19-10-2022,17568.15039,17607.59961,17472.84961,17512.25,17512.25,210500
20-10-2022,17423.09961,17584.15039,17421,17563.94922,17563.94922,249600
21-10-2022,17622.84961,17670.15039,17520.75,17576.30078,17576.30078,277700
24-10-2022,17736.34961,17777.55078,17707.40039,17730.75,17730.75,45000
25-10-2022,17808.30078,17811.5,17637,17656.34961,17656.34961,251400
27-10-2022,17771.40039,17783.90039,17654.5,17736.94922,17736.94922,324600
